years,months,English,German & related,French & related,Italian & related,Spanish & related,Russian,Arabic,Chinese,Japanese,Korean
2006,1,959,123,256,100,330,61,15,120,122,13
2006,2,1317,166,321,144,441,63,31,168,118,7
2006,3,1419,197,395,175,556,89,27,198,171,15
2006,4,1025,137,331,107,410,65,17,161,127,10
2006,5,805,104,239,88,305,35,14,96,97,7
2006,6,1312,169,390,141,493,70,34,181,123,11
2006,7,1372,169,364,131,543,56,29,193,166,25
2006,8,1487,150,386,148,587,60,46,217,160,38
2006,9,1107,136,290,116,502,54,32,156,137,30
2006,10,1306,157,343,117,595,76,32,202,135,25
2006,11,1264,150,288,119,574,60,25,173,104,26
2006,12,1113,112,287,90,484,59,26,191,95,15
2007,1,543,51,135,57,246,40,16,93,50,9
2007,2,695,85,167,65,293,29,15,91,53,10
2007,3,1472,150,355,139,586,74,29,211,123,24
2007,4,1476,152,348,139,589,80,33,208,136,24
2007,5,1241,128,274,89,505,66,31,208,107,32
2007,6,1231,139,237,112,493,46,28,182,99,18
2007,7,1548,144,326,135,626,65,40,196,106,25
2007,8,1617,130,337,154,646,64,31,241,158,26
2007,9,1418,134,355,121,609,47,27,225,131,15
2007,10,999,93,208,68,412,47,29,170,74,16
2007,11,1452,143,359,123,622,73,26,233,106,23
2007,12,1421,127,298,130,594,64,29,223,102,24
2008,1,1623,172,439,166,842,79,41,288,128,22
2008,2,1494,152,336,128,737,65,40,230,122,27
2008,3,1663,172,392,133,846,69,22,239,141,27
2008,4,1415,143,360,131,671,76,45,226,137,26
2008,5,1552,199,352,112,739,71,56,248,125,28
2008,6,1654,205,418,136,838,69,48,322,142,46
2008,7,1733,171,391,157,779,93,42,306,152,39
2008,8,1722,172,352,139,756,79,32,300,164,29
2008,9,1752,150,336,120,766,65,35,311,162,27
2008,10,1937,161,323,122,872,68,35,290,133,36
2008,11,1455,134,255,71,577,55,28,230,101,16
2008,12,1565,108,279,68,602,72,33,250,110,26
2009,1,1902,150,338,120,766,81,26,279,140,31
2009,2,1746,142,309,99,729,69,38,280,135,23
2009,3,2021,157,396,134,895,83,54,338,158,41
2009,4,1653,146,329,124,754,68,55,240,99,31
2009,5,1792,144,333,149,736,55,41,321,151,31
2009,6,1809,189,460,172,899,82,55,371,131,38
2009,7,1783,178,460,188,891,79,50,374,154,37
2009,8,1897,155,450,175,917,74,59,353,149,41
2009,9,1446,125,360,145,691,38,55,225,174,44
2009,10,2108,192,393,179,850,68,47,326,149,50
2009,11,1729,144,326,109,829,58,59,289,153,37
2009,12,1548,133,293,151,747,58,39,243,129,33
2010,1,1842,142,434,169,862,66,45,370,137,40
2010,2,1648,124,367,164,779,73,32,323,137,27
