years,months,English,German & related,French & related,Italian & related,Spanish & related,Russian,Arabic,Chinese,Japanese,Korean
2006,1,60.3227,44.5451,32.7726,32.4167,37.5703,55.2442,36.2941,38.9762,45.3415,42.1364
2006,2,53.163,33.5735,38.9178,34.298,30.088,59.6667,91.6909,39.5654,32.8497,70.4
2006,3,60.2797,44.8588,32.2888,38.8413,33.837,102.5745,38.9091,47.6056,51.995,32.8
2006,4,66.954,45.4634,37.4903,42.5762,31.3629,98.3519,26.2273,59.4474,74.4426,15.8
2006,5,60.965,100.9474,34.7295,36.3907,43.6325,91.8767,32.4865,36.3317,44.3148,49.4615
2006,6,50.036,53.2638,32.6422,37.2627,41.0791,72.6622,72.5,36.1067,29.9542,126
2006,7,54.7446,40.8206,29.8536,34.0507,31.0925,64.6563,38.2703,40.7639,33.6837,38.1481
2006,8,58.3587,62.2836,35.1887,41.3684,29.9841,48.4516,66.3333,37.8105,39.4659,70.1724
2006,9,58.3405,54.0747,28.7196,42.11,33.3042,56.7917,34.6222,40.6882,48.6162,76.4706
2006,10,66.2414,65.973,30.0456,41.4295,31.2771,36.9385,41.22,45.6535,38.7124,54.2174
2006,11,57.6224,64.7383,49.878,35.6857,31.8034,58.6739,55.08,49.0688,54.2889,30.5556
2006,12,61.1317,65.0957,59.8711,50.022,30.9492,99.5577,30.6786,36.9111,56.2267,26.1538
2007,1,89.7461,88.7414,39.1146,51.2358,49.216,84.8769,81.7632,68.1338,59.7476,110.6452
2007,2,58.3585,42.5548,35.9337,30.3456,33.2095,73.0725,88.4186,38.6256,42.8534,86.4375
2007,3,53.2599,38.7214,34.5606,32.5694,38.1503,87.125,57.2703,39.943,38.1018,36.625
2007,4,53.3261,63.7514,31.1355,31.3125,35.4346,60.0714,60.04,45.6099,43.4759,38.1724
2007,5,65.7662,40.3696,46.5491,32.7519,38.727,57.3889,112.8936,51.3892,78.1348,96.3448
2007,6,48.764,47.3264,34.0131,36.4645,33.7958,78.0364,37.4091,33.5671,50.1438,43.0435
2007,7,48.4945,48.966,34.343,35.2784,37.3982,63.7761,54.8393,44.9254,30.6875,46.4146
2007,8,51.3908,36.2533,32.6667,29.7656,32.7614,40.8,34.4091,33.5534,34.6209,23.5172
2007,9,58.5308,65.208,34.1966,51.5714,38.4402,83.2051,41.5,39.067,44.6084,64.3333
2007,10,58.8836,56.1161,39.2098,47.6048,40.9856,73.1395,69.8654,42.4591,51.3256,62.5294
2007,11,53.7273,58.5114,30.9146,41.831,41.1476,78.6977,46.3438,39.6475,48.15,31.7308
2007,12,47.1474,41.9797,31.5689,36.8982,33.0712,78.5652,55.0541,41.5915,45.0292,37.85
2008,1,52.5009,45.1535,28.5109,31.1127,34.3528,59.0595,39.9286,47.4582,42.3678,56.3571
2008,2,49.4649,72.0909,33.6066,38.1839,32.1427,53.8772,57.1509,42.3511,29.5664,51.9677
2008,3,52.3847,61.9014,36.3095,38.4063,30.7346,61.8767,126.0769,35.425,42.7391,46.6111
2008,4,52.122,50.2372,31.4028,37.2103,34.7889,57.4444,41.9756,41.8988,40.528,37.1538
2008,5,49.901,34.6389,37.7107,42.4769,33.6598,77.0159,67.7391,35.8532,34.5909,49.2258
2008,6,52.3171,46.1055,38.1844,34.4682,33.7721,41.5769,64.4,37.8794,41.6243,61.449
2008,7,50.0154,40.8935,35.3863,44.75,36.8987,44.6744,52.0682,34.9789,35.1489,71.0789
2008,8,44.6269,44.0657,36.4469,41.5667,36.1243,69.2237,59.4063,35.6982,43.1386,64.1429
2008,9,42.9216,46.7465,41.688,54.4823,35.9004,47.5,58.4,32.8155,35.8372,66.9286
2008,10,48.5527,63.0552,43.5096,65.3657,38.308,58.1091,44.1351,40.5257,48.2464,46.9167
2008,11,53.5006,53.1967,35.506,37.5133,37.0781,69.3478,67.0513,48.336,42.621,41.7391
2008,12,48.366,45.1071,38.1467,34.6375,35.1071,76.7037,36.8125,45.4054,40.6529,50.32
2009,1,47.5071,47.6034,34.5372,43.5057,29.914,78.0455,50.075,28.3053,32.8304,33.0455
2009,2,46.5573,59.0316,37.6075,40.7087,33.4277,61.9722,53,37.61,39.3977,38.3043
2009,3,48.8169,57.0262,32.3326,43,34.6275,62.7065,57.2459,40.0101,52.7466,45.1667
2009,4,50.7097,52.2823,35.8322,39.764,36.5079,78.8718,39.0164,34,52.96,60.2979
2009,5,48.0184,61.3311,34.237,38.3611,38.3154,60.6452,43.9118,30.9781,39.8785,38.8857
2009,6,45.8025,54.2857,39.5996,40.8245,32.9339,51.8571,35.9423,36.8977,41.345,42.0417
2009,7,47.2325,53.8967,35.6679,41.2551,36.8295,41.2941,68.4074,38.1779,53.6477,33.5526
2009,8,48.0118,54.319,42.3988,51.581,40.8269,74.2,42.1818,47.5639,45.1714,43.2
2009,9,42.9181,55.896,32.9075,41.4908,35.8474,52.8571,51.7667,36.8526,67.2781,34.3585
2009,10,45.5794,45.171,38.8592,42.0941,35.0661,51.2623,83.1765,38.4847,43.1811,72.377
2009,11,48.9489,50.4615,37.6587,40.208,35.3653,35.1034,57.8039,39.7661,45.7929,42.3333
2009,12,39.6278,50.597,37.7836,45.6322,33.9099,44.2667,64.5909,33.2486,42.2761,38.3793
2010,1,42.784,48.2121,34.9403,34.6864,33.1567,38.6324,35.525,33.8612,40.4545,47
2010,2,39.7089,39.0169,28.5849,47.2674,34.0167,44.9726,48.25,43.3862,39.3876,40.0455
2010,3,42.095,46.9542,34.956,37.44,34.0988,54.3553,53.6212,36.15,52.3359,55.6176
2010,4,39.9712,40.4973,33.8568,32.5686,38.1838,57.1081,52.8261,42.0935,56.2027,22.3333
2010,5,42.2614,36.1848,36.6147,37.5797,35.2526,44.4521,38.2941,39.9744,53.8986,45.9333
2010,6,39.5726,42.0566,36.7389,33.4632,37.5213,44.5225,44.7115,34.6045,29.5398,39.1064
2010,7,41.8004,57.4481,36.3132,38.6686,37.3864,59.9881,46.5522,39.0946,40.8158,47.2623
2010,8,43.3338,45.8056,36.7851,43.3398,40.4331,55,31.5625,36.1607,46.3564,54.6327
2010,9,40.0289,53.6115,39.0649,40.1692,35.1749,44.1311,47.4762,38.004,51.6503,39.7778
2010,10,38.1975,40.4803,35.9449,41.0516,34.2792,30.8148,32.1212,39.0909,48.8383,37.1475
2010,11,38.2143,38.963,34.9182,34.7636,33.3807,42.2841,43.2909,39.2804,46.2281,38.5556
2010,12,34.7136,43.6556,32.5152,41.876,34.0604,33.2676,35.5106,33.7085,41.18,29.7568
2011,1,32.504,41.8108,31.7532,30.715,33.1837,49.3857,40.3226,32.9595,33.84,42.5
2011,2,34.1213,36.2516,32.2189,34.8523,37.2867,50.8857,40.9231,33.9345,32.8504,45.4118
