title,itemtype,deweyClass,Counts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Pimsleur language programs Spanish 1 A the complete course",accd,468.3421,6287,200,342,853,899,756,658,573,555,430,336,290,261,134
"Pimsleur language programs Spanish 1 B the complete course",accd,468.3421,4382,206,274,517,583,451,402,405,412,325,256,244,203,104
"Spanish Latin American the short course",accd,467.3421,3711,220,225,479,473,335,305,314,343,278,247,228,182,82
"Pimsleur language programs French I A the complete course",accd,448.3421,3183,186,225,360,372,349,290,287,269,211,211,181,141,101
"Pimsleur language programs Spanish II A the complete course",accd,468.3421,2986,172,205,355,373,288,273,256,258,217,168,178,154,89
"Ultimate Spanish beginner intermediate",accd,468.2421,2783,0,168,527,465,408,305,255,225,161,116,75,53,25
"Pimsleur language programs French I B the complete course",accd,448.3421,2585,135,165,339,307,314,268,269,216,199,137,94,84,58
"Pimsleur language programs Spanish II B the complete course",accd,468.3421,2521,160,179,279,266,235,245,259,211,176,153,145,133,80
"EASY Part 1 the beginner series",bcdvd,428,2498,0,0,0,415,612,461,312,241,187,91,123,50,6
"EASY Part 2 community essentials",bcdvd,428,2016,0,0,0,364,513,391,235,189,147,64,59,44,10
"Pimsleur language programs Spanish Latin American III A the complete course",accd,468.3421,2001,113,117,213,200,191,195,204,175,193,149,108,90,53
"Cracking the TOEFL iBT",acbk,428.0076,1989,10,114,197,223,216,214,192,203,126,141,118,144,91
"Pimsleur language programs Italian I A the complete course",accd,458.3421,1975,123,152,217,230,211,210,167,140,163,131,93,93,45
"Pimsleur language programs Chinese Mandarin I A the complete course",accd,495.1,1664,95,129,174,192,194,189,157,138,124,94,88,64,24
"Italian the short course",accd,458.3421,1610,135,132,160,152,127,125,109,106,159,130,123,105,47
"Pimsleur language programs Spanish III B the complete course",accd,468.3421,1589,94,124,173,169,144,141,159,154,104,121,76,86,44
"Japanese the short course",accd,495.6,1525,124,124,219,160,157,131,114,108,86,84,85,86,36
"Pimsleur language programs German I A the complete course",accd,438.3421,1467,100,107,158,138,133,120,115,113,144,122,105,71,41
"French II A the complete course",accd,448.3421,1465,0,0,108,140,122,105,113,145,170,173,153,149,87
"French the short course",accd,448.3421,1407,167,133,159,117,104,86,83,85,100,126,101,90,56
"Pimsleur language programs Italian I B the complete course",accd,458.3421,1400,98,123,174,145,122,131,120,113,109,87,80,65,33
"Pimsleur language programs Japanese I A the complete course",accd,495.68342,1270,95,116,158,153,115,94,92,87,81,83,83,62,46
"Spanish Latin American the plus course",accd,468.342,1260,33,59,146,149,134,143,118,121,94,93,77,63,30
"Eats shoots leaves the zero tolerance approach to punctuation",acbk,428.2,1260,272,144,152,137,111,97,76,68,55,38,29,49,32
"Chinese Mandarin the short course",accd,495.1,1257,133,128,144,123,117,114,113,98,90,70,56,41,25
"Spanish for dummies",acbk,468.2421,1170,63,51,39,130,145,142,173,149,102,75,46,32,23
"French Part A the complete course III",accd,448.3421,1104,6,5,117,114,125,96,107,123,94,98,88,80,51
"Say it better in English useful phrases for work everyday life",bcbk,428.1,1063,0,0,81,138,165,164,114,140,102,69,47,34,9
"German the short course",accd,438.3421,1014,99,96,139,109,88,92,90,82,53,58,58,37,13
"ABC pronunciary American English pronunciation dictionary",bcdvd,428.24,1008,20,51,125,161,135,127,101,115,70,35,24,29,15
"Pimsleur language programs German I B the complete course",accd,438.3421,1000,81,89,109,98,95,87,75,95,75,74,50,41,31
"Word by word picture dictionary",bcbk,423.1,988,45,75,150,132,88,68,84,78,69,59,57,59,24
"Basic English grammar with answer key",bcbk,428.24,971,0,0,0,142,232,210,143,104,91,24,16,7,2
"Spanish 2 Wake up smiling",jcdvd,468.3421,940,0,0,0,109,169,162,131,121,88,61,54,33,12
"Between you me confessions of a comma queen",acbk,428.2,937,0,0,0,0,0,0,0,0,0,545,297,63,32
"Pimsleur language programs Chinese Mandarin I B the complete course",accd,495.1,932,69,78,104,107,87,99,99,72,67,54,32,39,20
"Spanish Disc 4 In my home",jcdvd,468.3421,929,0,0,0,0,113,193,152,146,108,81,74,47,15
"French Part B the complete course III",accd,448.3421,907,7,7,98,96,106,75,92,107,96,70,58,59,36
"Spanish 1 Eating and drinking",jcdvd,468.3421,878,0,0,0,130,194,182,137,100,58,33,25,13,6
"Spanish 3 Playtime",jcdvd,468.3421,873,0,0,0,111,162,154,103,105,91,57,43,35,12
"Pimsleur language programs Arabic Eastern I A the complete course",accd,492.7,870,43,61,124,116,99,94,75,61,60,49,43,28,12
"Mandarin Chinese 2 Wake up smiling",jcdvd,495.13421,863,0,0,0,128,152,126,122,106,78,73,46,26,5
"Fundamentals of English grammar with answer key",bcbk,428.24,860,61,49,60,111,51,92,134,120,80,46,28,18,10
"French 1 Eating and drinking",jcdvd,448.3421,854,0,0,0,130,155,135,90,100,89,65,42,34,14
"Understanding and using English grammar",bcbk,428.24,852,21,17,57,27,129,129,110,109,79,60,44,53,17
"Pimsleur language programs German II A the complete course",accd,438.3421,848,55,53,94,67,96,70,69,88,65,73,45,47,26
"Oxford picture dictionary English Chinese",bcbk,423.951,844,38,30,65,54,149,109,76,88,75,61,64,28,7
"Spanish Disc 5 Happy sad and silly",jcdvd,468.3421,833,0,0,0,0,102,175,121,124,104,81,68,45,13
"Mandarin Chinese 1 Eating and drinking",jcdvd,495.13421,830,0,0,0,133,158,135,132,96,56,45,33,34,7
"Pimsleur language programs Portuguese Brazilian the short course",accd,469.8,829,87,70,88,99,80,78,68,65,69,43,33,27,22
"Pimsleur language programs Russian I A the complete course",accd,491.78234,824,56,79,96,101,90,80,50,65,65,36,34,37,32
